repository,scan_status,total_findings,code_scanning_open,code_scanning_critical,code_scanning_high,dependabot_open,secret_scanning_open,status
RockRunner007/Application-Security-Sandbox,findings,27,17,0,11,10,0,ok
RockRunner007/carlson-speaking,findings,3,3,0,0,0,0,ok
RockRunner007/crAPI,findings,15,15,5,7,0,0,ok
RockRunner007/DAST_Automation,configured,14,0,0,0,14,0,ok
RockRunner007/ggcanary,findings,1,1,0,1,0,0,ok
RockRunner007/Private-Python-Package-Deployment,findings,1,1,0,0,0,0,ok
RockRunner007/RockRunner007.github.io,findings,30,1,0,1,29,0,ok
RockRunner007/SAST_Automation,configured,14,0,0,0,14,0,ok
RockRunner007/SCA_Automation,configured,14,0,0,0,14,0,ok
RockRunner007/SM_Automation,configured,14,0,0,0,14,0,ok
RockRunner007/template,findings,13,13,0,0,0,0,ok
